,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
529,131,2,BA,-12.893395309053016,154.29151469961062,311.1139196760987,[ 51.92142857  19.57857143 -12.15714286],[ 52.18705036  12.92086331 -11.25179856],[52.74285714  8.30714286 -9.02857143],1345
530,132,2,BA,139.98717250247844,345.86160216402203,513.6395363764121,[ 28.97794118 -15.49264706 -71.44117647],[ 28.26666667 -14.4962963  -72.02962963],[ 28.60869565 -14.88405797 -71.08695652],1345
531,133,2,BA,63.644477565992055,229.4627645274842,428.13138845511094,[  74.49264706   42.80882353 -151.36764706],[  74.55474453   39.86131387 -155.99270073],[  75.42253521   41.82394366 -157.80985915],1345
532,134,2,BA,5.498483788992749,-36.830471438205514,195.79912339742305,[-13.06569343   2.16058394  16.66423358],[-15.67142857   2.25        14.42857143],[-18.08965517   1.2         15.55862069],1345
533,135,2,BA,227.9630325808917,-60.50532047924687,304.78400992781854,[-12.5        -15.1         27.10714286],[-12.5971223  -15.17985612  26.92086331],[-12.41726619 -15.51798561  27.04316547],1345
534,136,2,BA,209.7612599633838,-63.58469643216046,614.3226203854105,[13.46808511 35.97163121 21.11347518],[16.55797101 35.69565217 21.0942029 ],[14.13868613 37.30656934 20.91970803],1345
535,137,2,BA,189.28169239378406,-191.2502386336934,485.80703458626044,[ 75.98630137  -5.65068493 -55.43150685],[ 74.83687943  -7.62411348 -52.45390071],[ 77.37410072  -6.20143885 -50.73381295],1345
536,138,2,BA,12.667533353353095,-148.99630704892058,544.7086207972859,[  2.55319149 121.30496454  -7.09929078],[  5.67605634 115.88028169  -6.35915493],[ 10.71830986 115.16197183  -6.9084507 ],1345
537,139,2,BA,-1.4730791460118837,-335.17012917677715,739.1028610257431,[ 32.07352941   5.32352941 112.64705882],[ 33.08823529   5.5        112.52205882],[ 31.24087591   7.86131387 112.67153285],1345
538,140,2,BA,-265.6041105729498,-207.2829636162001,1095.9211254987795,[100.71039986 110.68357323 129.23703704],[ 97.8540146  111.98540146 127.59124088],[ 97.69285714 113.22142857 128.98571429],1345
539,141,2,BA,-228.57098800796382,-119.41610207831634,1073.5717488640685,[10.33566434 64.14685315 -3.79020979],[ 8.97101449 61.53623188 -4.41304348],[ 10.85915493  61.8028169  -10.09859155],1345
