,time,iter,type,v_x,v_y,v_z,order,variance,n_cells
5433,60,1,BA,-19.845293437573098,65.4339399550544,178.83821617748762,191.4642100634237,5.522416908267248,1344
5434,61,1,BA,-33.86722782226256,5.510182335646154,161.9390074030211,165.5342663873943,5.8388720877715805,1344
5435,62,1,BA,-54.677986087619814,40.983250462716555,185.724501376744,197.89618337079645,5.918991515287443,1344
5436,63,1,BA,-36.04885215727838,8.74346008423929,139.99285368180432,144.82391694080462,5.524486871474848,1344
5437,64,1,BA,53.6223571051524,28.895788056273886,230.96398267507786,238.8612254888584,5.719946895225717,1344
5438,65,1,BA,21.32617335936622,45.918186426161526,181.32116206272963,188.25687059600276,5.706991326941591,1344
5439,66,1,BA,14.258061873202113,54.74824225189258,161.74598639341426,171.35468033418442,5.685020938872055,1344
5440,67,1,BA,14.520030618158613,4.916154689129909,196.21502456327985,196.8129460438216,5.759104886554101,1344
5441,68,1,BA,7.427511649591379,16.85647888268038,169.9440052910578,170.93938616946696,5.559789035264834,1344
5442,69,1,BA,-37.230721460515326,27.197088270802922,141.27025465658073,148.6038124733531,5.52830678138989,1344
5443,70,1,BA,-19.10562562249134,9.17391983726438,122.76576836066022,124.581778831379,5.5028178889083295,1344
5444,71,1,BA,12.674782376003016,41.225909354517576,50.47322066330443,66.3910514641285,5.425090279413321,1344
5445,72,1,BA,6.561585035649083,0.19531538762104358,31.080190935498962,31.765875005542778,5.707544893546492,1344
5446,73,1,BA,-39.31130329023906,-54.36010827475237,60.55601574990224,90.37384013929234,5.80112804146094,1344
5447,74,1,BA,26.388742580455638,43.70339418475426,46.23220861796786,68.87502821735079,5.8173559608057825,1344
5448,75,1,BA,-13.092318800895868,-10.679503468321386,20.200293479998766,26.334624785484614,5.7027932289826575,1344
5449,76,1,BA,-46.11389136910251,27.181965205381296,-12.6511811601994,55.003659827107235,5.697704743113961,1344
5450,77,1,BA,-95.7381131846152,29.92250976554847,54.96401076309337,114.37738144399434,5.49104926568582,1344
5451,78,1,BA,-30.72757649204523,39.682329711298955,-9.929971517143079,51.161270339212685,5.785613197430759,1344
5452,79,1,BA,-1.5361907143709828,13.128178978329853,-41.17750322341894,43.24691592371251,5.467959862569938,1344
5453,80,1,BA,40.164142334976,15.459753460007859,-13.961717146542012,45.24479917325837,5.852240630364137,1344
5454,81,1,BA,38.98802089283915,22.071244018118588,-7.71737608579879,45.46167044112498,5.7031859845432935,1344
5455,82,1,BA,27.102478289853188,-0.7071048420608815,-19.401060455750986,33.33834839216445,5.1984998422392925,1344
5456,83,1,BA,-15.9372031748048,-18.726520060013396,21.657874693731834,32.767980329011465,5.2566929186179445,1344
5457,84,1,BA,61.781671563530665,47.43683593704625,71.67444850719136,105.85109783895602,5.3329320245443865,1344
5458,85,1,BA,-5.189967397236815,81.48129708599238,45.56711175011204,93.50133266241359,5.505141400055327,1344
5459,86,1,BA,-71.23899210229764,51.50274375483239,29.796833084891134,92.81905985257562,5.199433191974116,1344
5460,87,1,BA,-105.59291794957839,-24.926354945632198,-17.630772869230682,109.91829531041881,5.41719751557776,1344
5461,88,1,BA,-59.68066456246135,-11.702126016814137,-4.558693514868865,60.987729605986615,5.442817319707332,1344
5462,89,1,BA,-53.480664222671535,65.08289042572432,-28.00198249580104,88.76978706497006,5.4554410537431295,1344
5463,90,1,BA,-84.50484232358858,36.89247979131669,4.258329204887856,92.3052371694287,5.759175129373037,1344
5464,91,1,BA,-31.071686070581233,-35.895845104434464,64.30561885521303,79.93230878300858,5.437709195799401,1344
5465,92,1,BA,-46.807445685401106,-15.219879995236157,3.8399450304221125,49.36929102689067,5.6435254938812225,1344
5466,93,1,BA,-4.20503207135891,-19.333132326004918,-34.99980944606656,40.204961901697445,5.762992727347873,1344
5467,94,1,BA,-23.358045708693936,-89.24707182550968,85.21138269443001,125.58510209994546,5.608484754604446,1344
5468,95,1,BA,-35.36547043054931,6.347806386053752,88.22415994647424,95.26024114471868,5.634043038806746,1344
5469,96,1,BA,-44.65576041756178,-21.60141923039553,108.38936116506444,119.20155982624036,5.400413949038386,1344
5470,97,1,BA,-10.007943193384463,32.300360410637595,59.762556533833795,68.6661151739253,5.513029240698105,1344
5471,98,1,BA,28.779178472358616,88.45172324325938,52.41589182687347,106.76785178251234,5.528100725331329,1344
5472,99,1,BA,47.84371454262289,-7.930877500792762,87.88599693058049,100.3786246949547,5.465027533427526,1344
5473,100,1,BA,-62.58197032526657,-25.15426560843146,40.95540953854594,78.90871725330531,5.495422662372875,1344
5474,101,1,BA,29.773730752731495,-55.13230083102089,43.72009454056385,76.40348358873551,5.4798072914872344,1344
5475,102,1,BA,41.11155905234044,-68.27570652728762,86.1091499434921,117.33080624245785,5.930808692918114,1344
5476,103,1,BA,29.38041761514403,4.972887924625309,120.36275167889187,123.99649408457377,5.712795476523458,1344
5477,104,1,BA,-0.3835700171456249,38.10595892679123,38.01196159876821,53.82490553892856,5.7478589792304975,1344
5478,105,1,BA,-6.678295292850788,-19.616197047648225,44.74131815390298,49.307001174067,5.647898503963226,1344
5479,106,1,BA,37.6029732852622,-59.12396754516465,122.6250160361896,141.23215531899802,5.567329920159638,1344
5480,107,1,BA,27.044018947636577,-32.709808280705715,149.47687731481082,155.38547992134806,5.343868823005491,1344
5481,108,1,BA,49.869774452191564,13.563303728746899,108.11756609855719,119.83474333859351,5.488402447418781,1344
5482,109,1,BA,37.467469389340074,-8.676811667023253,146.941124019036,151.8907247040577,5.452316266385465,1344
5483,110,1,BA,13.521490176879823,15.811160945956729,100.45635350549816,102.58802301771887,5.612999958546762,1344
5484,111,1,BA,23.148275500393108,-47.571428330712,15.093734757996511,55.015491282100896,5.624142781782947,1344
5485,112,1,BA,39.45968514484886,9.248207350900794,66.82855436321776,78.15786441052119,5.410074851888244,1344
5486,113,1,BA,-36.89619182822639,11.25884212031093,43.18618468701964,57.90627811504326,5.438585893642231,1344
5487,114,1,BA,-2.490732955382833,-34.34264752530366,88.58599629708743,95.04262164760536,5.480012624063779,1344
5488,115,1,BA,-9.93420013691257,-36.75973998180879,79.71256742458336,88.34059214941438,5.56504461211625,1344
5489,116,1,BA,18.766199691104838,-81.52858261989064,41.46432373062932,93.37221308983304,5.603687055577646,1344
5490,117,1,BA,56.22435926004971,-57.075644003063175,70.01712801713329,106.40115567199057,5.78244645965075,1344
5491,118,1,BA,102.75857448256154,-30.32807354875066,109.64336922197678,153.29965782484092,5.549436287146163,1344
5492,119,1,BA,70.81392490946016,8.653532759338606,88.34018737647644,113.54947950567882,5.475744095315641,1344
5493,120,1,BA,93.62557266956922,-35.950066372824956,102.39290261594438,143.32641639290915,5.505372219286087,1344
5494,121,1,BA,92.38152767729012,-40.876462938419664,65.55250822253643,120.42575809440281,5.424941190314582,1344
5495,122,1,BA,93.871391431073,-65.6986916492451,52.63273457009658,126.08870275307996,5.3943396235613505,1344
5496,123,1,BA,91.65586646435088,-75.79835537894802,41.4891289402334,125.96640963250296,5.223744899268111,1344
5497,124,1,BA,90.14697693773324,-33.35455126732659,61.67109263348018,114.20300875136442,5.638267630498911,1344
5498,125,1,BA,15.29370613434123,-72.1553464102432,60.65791883557043,95.49698728425118,5.545024269054915,1344
5499,126,1,BA,3.7878872743201693,-80.64976335912218,85.79041320224744,117.80801083669019,5.424733116225408,1344
5500,127,1,BA,-20.966797761726927,-22.613371177428924,8.597398167901625,32.01384731091795,5.774559374979547,1344
5501,128,1,BA,-38.777181648749355,-2.055189123046918,38.80597596024011,54.89806361956975,5.827008472538536,1344
5502,129,1,BA,22.507172678632713,12.116987287049131,4.221335412534569,25.907795652378834,5.556720433388835,1344
5503,130,1,BA,-33.810177312914796,-46.89285065526528,-43.223942136726095,72.18293916395201,5.554450788096914,1344
5504,131,1,BA,-67.63746163485393,-66.74173916546738,-42.24469418902255,103.98990407900979,5.594840614298914,1344
5505,132,1,BA,-63.14923871721959,-44.98921565842507,-9.508830269135965,78.11705146260898,5.593378609973887,1344
5506,133,1,BA,-48.59887557380374,-30.077265365251296,-31.204365959217593,65.11685690976324,5.412239405221594,1344
