,time,center,coords,radius,order,type,iter
379,34,5,"[48, 24, 7]",6,0.3333333333333333,ER,1
380,34,6,"[53, 22, 22]",6,0.0,ER,1
381,34,7,"[28, 38, 51]",6,0.06666666666666667,ER,1
382,34,8,"[48, 6, 55]",6,0.06666666666666667,ER,1
383,34,9,"[59, 45, 44]",6,0.0,ER,1
384,34,10,"[23, 59, 6]",6,0.0,ER,1
385,35,0,"[51, 32, 48]",7,0.3333333333333333,ER,1
386,35,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
387,35,2,"[13, 58, 48]",7,1.0,ER,1
388,35,3,"[25, 13, 7]",7,0.5555555555555556,ER,1
389,35,4,"[47, 41, 30]",7,0.0,ER,1
390,35,5,"[48, 24, 7]",6,0.06666666666666667,ER,1
391,35,6,"[53, 22, 22]",6,0.16666666666666666,ER,1
392,35,7,"[28, 38, 51]",6,0.1111111111111111,ER,1
393,35,8,"[48, 6, 55]",6,0.3333333333333333,ER,1
394,35,9,"[59, 45, 44]",6,0.1111111111111111,ER,1
395,35,10,"[23, 59, 6]",6,0.1111111111111111,ER,1
396,36,0,"[51, 32, 48]",7,0.7777777777777778,ER,1
397,36,1,"[40, 32, 56]",7,0.0,ER,1
398,36,2,"[13, 58, 48]",7,0.5,ER,1
399,36,3,"[25, 13, 7]",7,0.1111111111111111,ER,1
400,36,4,"[47, 41, 30]",7,0.1111111111111111,ER,1
401,36,5,"[48, 24, 7]",6,0.3333333333333333,ER,1
402,36,6,"[53, 22, 22]",6,0.16666666666666666,ER,1
403,36,7,"[28, 38, 51]",6,0.16666666666666666,ER,1
404,36,8,"[48, 6, 55]",6,0.3333333333333333,ER,1
405,36,9,"[59, 45, 44]",6,0.1111111111111111,ER,1
406,36,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
407,37,0,"[51, 32, 48]",7,0.3333333333333333,ER,1
408,37,1,"[40, 32, 56]",7,0.1111111111111111,ER,1
409,37,2,"[13, 58, 48]",7,0.3333333333333333,ER,1
410,37,3,"[25, 13, 7]",7,0.6666666666666666,ER,1
411,37,4,"[47, 41, 30]",7,0.0,ER,1
412,37,5,"[48, 24, 7]",6,0.3333333333333333,ER,1
413,37,6,"[53, 22, 22]",6,0.2,ER,1
414,37,7,"[28, 38, 51]",6,0.5555555555555556,ER,1
415,37,8,"[48, 6, 55]",6,0.16666666666666666,ER,1
416,37,9,"[59, 45, 44]",6,0.6666666666666666,ER,1
417,37,10,"[23, 59, 6]",6,0.3333333333333333,ER,1
418,38,0,"[51, 32, 48]",7,0.3333333333333333,ER,1
419,38,1,"[40, 32, 56]",7,0.1111111111111111,ER,1
420,38,2,"[13, 58, 48]",7,0.4666666666666667,ER,1
421,38,3,"[25, 13, 7]",7,0.3333333333333333,ER,1
422,38,4,"[47, 41, 30]",7,0.0,ER,1
423,38,5,"[48, 24, 7]",6,0.3333333333333333,ER,1
424,38,6,"[53, 22, 22]",6,0.3333333333333333,ER,1
425,38,7,"[28, 38, 51]",6,0.3333333333333333,ER,1
426,38,8,"[48, 6, 55]",6,0.16666666666666666,ER,1
427,38,9,"[59, 45, 44]",6,0.1111111111111111,ER,1
428,38,10,"[23, 59, 6]",6,0.1111111111111111,ER,1
429,39,0,"[51, 32, 48]",7,0.1111111111111111,ER,1
430,39,1,"[40, 32, 56]",7,0.3333333333333333,ER,1
431,39,2,"[13, 58, 48]",7,0.4666666666666667,ER,1
432,39,3,"[25, 13, 7]",7,0.6666666666666666,ER,1
433,39,4,"[47, 41, 30]",7,0.16666666666666666,ER,1
434,39,5,"[48, 24, 7]",6,0.0,ER,1
