,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
1903,112,1,BA,101.10634960631586,93.26766211269161,-785.8954851306822,[ 48.03597122   9.09352518 166.38848921],[ 48.54411765   7.97058824 168.42647059],[ 54.40939597   5.18791946 169.85234899],1344
1904,113,1,BA,164.67019770083357,165.90893242976054,-755.9845953756533,[-129.30075188  -68.19548872   40.09774436],[-129.93877551  -67.7755102    42.27891156],[-131.73103448  -66.75172414   42.88965517],1344
1905,114,1,BA,412.39355141405713,77.16192084555883,-641.7064552181256,[  7.56198347 -19.6446281   17.42975207],[  7.1640625 -19.03125    39.109375 ],[-16.6259542    3.06870229  61.61068702],1344
1906,115,1,BA,237.24968067732004,89.71316445549168,-737.9218648577976,[ -0.58940397  31.74834437 102.01986755],[-2.15714286 33.97857143 99.46428571],[-6.75675676e-03  3.67837838e+01  9.49864865e+01],1344
1907,116,1,BA,324.3535934401703,195.3533872327328,-715.3676327489507,[   7.98591549 -101.92957746  -68.43661972],[   4.69387755 -104.57823129  -68.39455782],[   6.32592593 -104.37777778  -72.18518519],1344
1908,117,1,BA,248.35632097779376,402.53184752682716,-659.064850374895,[-20.25        16.3125     197.28472222],[-19.83333333  12.58333333 199.45833333],[-18.50714286  12.25       201.80714286],1344
1909,118,1,BA,194.04160376094302,353.57237815950657,-576.4448298998769,[ 16.34328358 -81.38059701 105.70149254],[ 17.94776119 -79.53731343 106.47761194],[ 21.05517241 -79.84827586 110.11034483],1344
1910,119,1,BA,208.50022403620653,389.8654391726725,-452.2673680591292,[103.2173913  -37.60869565 202.33333333],[103.92366412 -42.34351145 202.45801527],[105.02040816 -43.98639456 198.86394558],1344
1911,120,1,BA,309.59934755727704,367.36185860977895,-561.4854535765818,[ -7.04761905  23.23129252 249.97959184],[ -5.09589041  18.63013699 251.24657534],[ -2.91034483  16.17931034 249.26896552],1344
1912,121,1,BA,121.18096083535713,321.7467942110219,-633.4946455277868,[138.33333333 -21.56666667  79.92      ],[137.01298701 -18.62337662  76.3961039 ],[138.48965517 -16.09655172  75.8       ],1344
1913,122,1,BA,207.2440279176848,207.76777243751613,-778.5440779073037,[81.26428571 41.88571429 36.3       ],[84.33561644 39.06164384 37.5       ],[86.5        36.97101449 37.53623188],1344
1914,123,1,BA,321.29825158535164,303.26431281280276,-635.9044023861157,[-132.06293706  -64.74825175   12.67132867],[-130.92805755  -63.58878946   13.31529945],[-131.3880597   -60.95522388   12.87313433],1344
1915,124,1,BA,131.23952209017654,61.3253723071465,-726.2879861643751,[ 35.82575758  23.32575758 373.03787879],[ 36.5971223   22.28057554 368.82014388],[ 35.6124031   19.82170543 366.03875969],1344
1916,125,1,BA,167.33249692224078,185.64458035813948,-777.0196105995127,[-15.56551724  94.86206897  94.64827586],[-18.04109589  91.01369863  93.21917808],[-17.92647059  88.02205882  96.30882353],1344
1917,126,1,BA,355.35880768033,273.96317164469315,-476.52216182591496,[54.82638889 25.29166667 38.96527778],[53.53846154 27.69230769 41.81818182],[52.58041958 26.40559441 44.46153846],1344
1918,127,1,BA,419.0467400986235,344.594070766624,-492.0026410375499,[ -4.34328358 160.28358209  15.63432836],[ -5.18978102 161.02189781  12.33576642],[ -0.54961832 162.41984733   9.34351145],1344
1919,128,1,BA,302.98034941628754,150.3879035064125,-326.5931968952239,[  67.17857143   40.20714286 -140.2       ],[  64.41549296   40.18309859 -137.79577465],[  62.89051095   41.7080292  -136.46715328],1344
1920,129,1,BA,143.1593975219024,199.25098749876003,-513.5022522722194,[  3.10344828   1.17241379 168.05517241],[  5.94701987   3.60927152 163.94039735],[ 10.25531915   5.12056738 164.53191489],1344
1921,130,1,BA,294.5319637865201,117.05762262982645,-433.3366405429845,[ 57.95364238 116.58278146  99.93377483],[ 57.95890411 121.66438356 100.29452055],[ 55.87234043 123.4964539   97.56028369],1344
