,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
2601,14,2,PW,-259.3728638833552,-791.4724526168413,-1335.1085014936973,[367.01986755 362.52980132 563.44370861],[362.10691824 361.55345912 562.77987421],[357.93333333 362.92666667 563.9       ],1327
2602,15,2,PW,-157.0526160183796,-640.1990376744867,-1390.3613416403016,[129.71518987 506.93037975 583.15822785],[129.49673203 507.87581699 578.4248366 ],[129.53039986 512.22424648 570.58971938],1327
2603,16,2,PW,-200.47902332358018,-862.9860219014708,-1518.9305602256313,[330.98051948 335.83766234 469.31168831],[328.42068966 336.97241379 471.64827586],[325.66442953 337.2885906  474.75167785],1327
2604,17,2,PW,-148.74348899483175,-845.9242110941229,-1422.3060070119473,[443.78205128 385.71613839 525.87168513],[443.625   389.8875  529.91875],[446.11764706 394.90849673 532.0130719 ],1327
2605,18,2,PW,-67.5018999182536,-765.4870936567224,-1553.4658554284654,[353.30625 521.75    523.71875],[353.61184211 517.31578947 525.38815789],[351.55102041 513.66666667 527.04761905],1327
2606,19,2,PW,-26.67719450017991,-784.5830617009992,-1781.208486155922,[303.78807947 535.22516556 520.18543046],[305.54193548 533.38709677 524.72903226],[307.10625 528.08125 526.35625],1327
2607,20,2,PW,-283.57450691553163,-769.0142403329519,-1851.7492260749518,[439.84516129 517.08387097 558.12258065],[440.1986755  523.04635762 556.36423841],[438.875      527.09027778 553.71527778],1327
2608,21,2,PW,-391.4891085101566,-839.9582707011068,-2115.321060004771,[392.54304636 366.93377483 500.8410596 ],[391.15686275 371.12418301 497.14379085],[389.         376.28476821 495.89403974],1327
2609,22,2,PW,-577.58425531129,-972.4665525685696,-2258.5827547231083,[261.68181818 393.64935065 617.37662338],[264.25333333 395.94       614.52666667],[265.30967742 392.89677419 608.58064516],1327
2610,23,2,PW,-634.4995383619585,-651.9213533765717,-2353.9077839389324,[236.2384106  406.40397351 507.0397351 ],[233.81756757 408.74324324 504.32432432],[232.51973684 404.42105263 502.09868421],1327
2611,24,2,PW,-793.0384341503432,-711.9873944613229,-2255.796413306368,[170.63448276 454.59310345 500.7862069 ],[170.62758621 454.97931034 495.57241379],[175.42580645 458.01935484 492.75483871],1327
2612,25,2,PW,-850.7421741616579,-771.4378138307496,-2389.8553346016856,[290.77241379 341.68965517 483.24827586],[290.00684932 346.5890411  481.99315068],[285.62987013 349.75974026 481.07792208],1327
2613,26,2,PW,-874.1696653365915,-808.0351716924542,-2550.39081293018,[359.75496689 518.39072848 559.48344371],[355.41333333 517.12       559.48666667],[351.30769231 516.37820513 562.41025641],1327
2614,27,2,PW,-1019.9722000306049,-745.8741676735871,-2464.680660183812,[260.26282051 387.03205128 550.07692308],[263.90909091 390.         552.27272727],[266.46938776 393.86394558 552.61904762],1327
2615,28,2,PW,-854.5964532004821,-770.6811073482072,-2540.6353475889555,[386.79605263 504.86842105 613.42763158],[389.24503311 507.90066225 609.54966887],[388.05050651 510.95600978 604.59848923],1327
2616,29,2,PW,-815.3854446878564,-786.5127302749601,-2748.439117681536,[434.43396226 227.94968553 573.28301887],[432.1910828  231.80254777 569.02547771],[432.15231788 233.79470199 564.7615894 ],1327
2617,30,2,PW,-752.7278457324126,-814.6186251103911,-3027.9269939940355,[253.91719745 477.21019108 537.84076433],[249.72435897 477.42307692 538.03205128],[247.85106383 473.90780142 541.62411348],1327
2618,31,2,PW,-678.7031773552391,-957.0167458366874,-3090.168645231722,[236.77083333 393.59722222 538.28472222],[240.47333333 390.5        539.35333333],[241.84931507 386.94520548 540.04794521],1327
2619,32,2,PW,-774.3090279376033,-875.4503887743782,-3142.6096443386264,[441.35757576 367.99393939 448.76969697],[441.36601307 363.10457516 448.20915033],[442.17333333 364.08666667 443.06666667],1327
2620,33,2,PW,-673.878177600066,-954.7433651456331,-3204.0484193007633,[294.89102564 545.26282051 536.35897436],[298.87162162 544.16216216 534.12837838],[300.06849315 541.28767123 531.2260274 ],1327
2621,34,2,PW,-584.6115021016872,-1137.9455809283543,-3364.6505835199046,[417.14285714 511.94155844 464.71428571],[413.93333333 513.54       459.70666667],[415.75333333 514.18       454.05333333],1327
