,sigma,omega,std_sigma,std_omega,params,type,CUMUL_STD
144,13.569350037350343,-0.008954795473770327,0.0908629912799328,0.017034758897478262,500N_0.125V/E,WS,0.1458585163441768
145,12.348703316953335,0.17704850461104307,0.09662291019333764,0.011092065003910042,500N_0.125V/E,WS,0.09646901834427613
146,9.96622807433955,0.399640133700015,0.18964073898911335,0.014244182939289016,500N_0.125V/E,WS,0.13909509892404412
147,6.088534736975068,0.6608263666674102,0.10570785046231258,0.006012147653594863,500N_0.125V/E,WS,0.054961618760929754
148,2.128258092182345,0.8905749019135565,0.08706682895888647,0.0051325088232983635,500N_0.125V/E,WS,0.044317473048130024
149,0.9510820423363497,0.9559244999367846,0.033682678645546305,0.001819493731998485,500N_0.125V/E,WS,0.007105066590968864
150,11.355791336703462,-0.6019836449949028,0.9163959554471786,0.03760440815901747,500N_0.1875V/E,WS,0.4613915552351504
151,14.046161714834403,-0.47511312706826353,0.6634386286510878,0.0332361956379093,500N_0.1875V/E,WS,0.3811065644216587
152,15.491317340286898,-0.3844233881565639,0.4141636916537605,0.02874836633798513,500N_0.1875V/E,WS,0.3004373238712674
153,16.88092682363675,-0.25181895888529715,0.22239756417184797,0.023792360095641882,500N_0.1875V/E,WS,0.22563377135320228
154,17.215193818062136,-0.09424257196300534,0.07463067900949745,0.022736164189212257,500N_0.1875V/E,WS,0.1914118513943936
155,16.273886196037623,0.09242680550412903,0.15067562250518887,0.013511835188352351,500N_0.1875V/E,WS,0.12622397721619183
156,13.214625518684187,0.33785646687957743,0.20495446091343492,0.013805241011599727,500N_0.1875V/E,WS,0.13799303806492175
157,7.895992418664773,0.6307680705197967,0.3958476328422236,0.018164017631451396,500N_0.1875V/E,WS,0.2075847706838529
158,2.566333208994468,0.8758004704967238,0.14852700861306153,0.005992815075222748,500N_0.1875V/E,WS,0.06212002680528382
159,0.8143815727986297,0.9504097183956454,0.0563697854469318,0.002393177790092236,500N_0.1875V/E,WS,0.015847623781762427
160,13.508257274706978,-0.6312690448793319,1.0259497146671432,0.031894604824561155,500N_0.25V/E,WS,0.43172545448630906
161,16.8242864645676,-0.5164222546391211,0.9232967465919946,0.037604897009412955,500N_0.25V/E,WS,0.4625757679795547
162,19.237874577260037,-0.4093663092778727,0.5844721315774601,0.028909378058787724,500N_0.25V/E,WS,0.33092574586482393
163,21.007982506734105,-0.29504019795249636,0.3421325585138817,0.026872630330568033,500N_0.25V/E,WS,0.2722195855220871
164,22.070858705856022,-0.11360772725219721,0.22029306965322717,0.02652773742400375,500N_0.25V/E,WS,0.2484608834275
165,21.207855668764466,0.08841707650869005,0.22191309312188015,0.01717349841421982,500N_0.25V/E,WS,0.16944477634040828
166,17.345039805783138,0.35297863626578607,0.47844025913324817,0.02409404473644722,500N_0.25V/E,WS,0.2719756116747803
167,10.566543867718114,0.6472174117468794,0.44344091749721154,0.016573143590249223,500N_0.25V/E,WS,0.20223808182159198
168,3.230910826606735,0.9018452468718221,0.24404887278899448,0.007634858606081515,500N_0.25V/E,WS,0.09237385205261747
169,0.9011685552608023,0.9750378470496116,0.10744494462418258,0.0026198875984653706,500N_0.25V/E,WS,0.02650347732974077
170,12.997890889473101,-0.6966223418457267,1.930590406052534,0.04888561852161307,500N_0.3125V/E,WS,0.7304512566116947
