,FILE,VOLUME
238,VOLLAMBDA_697MAX390.pkl,1.1444091796875e-05
239,VOLLAMBDA_697MAX391.pkl,1.150369644165039e-05
240,VOLLAMBDA_697MAX392.pkl,1.1682510375976562e-05
241,VOLLAMBDA_697MAX49990.pkl,2.2113323211669922e-05
242,VOLLAMBDA_697MAX49991.pkl,2.2530555725097656e-05
243,VOLLAMBDA_697MAX49992.pkl,2.2292137145996094e-05
244,VOLLAMBDA_697MAX6290.pkl,1.6391277313232422e-05
245,VOLLAMBDA_697MAX6291.pkl,1.6987323760986328e-05
246,VOLLAMBDA_697MAX6292.pkl,1.6689300537109375e-05
247,VOLLAMBDA_697MAX790.pkl,1.239776611328125e-05
248,VOLLAMBDA_697MAX791.pkl,1.3530254364013672e-05
249,VOLLAMBDA_697MAX792.pkl,1.239776611328125e-05
250,VOLLAMBDA_7168MAX100.pkl,1.3053417205810547e-05
251,VOLLAMBDA_7168MAX101.pkl,1.3232231140136719e-05
252,VOLLAMBDA_7168MAX102.pkl,1.3709068298339844e-05
253,VOLLAMBDA_7168MAX12560.pkl,0.0001970529556274414
254,VOLLAMBDA_7168MAX12561.pkl,0.00017440319061279297
255,VOLLAMBDA_7168MAX12562.pkl,0.00015991926193237305
256,VOLLAMBDA_7168MAX1580.pkl,0.0005529522895812988
257,VOLLAMBDA_7168MAX1581.pkl,0.0005678534507751465
258,VOLLAMBDA_7168MAX1582.pkl,0.0005304813385009766
259,VOLLAMBDA_7168MAX190.pkl,1.8417835235595703e-05
260,VOLLAMBDA_7168MAX191.pkl,1.6629695892333984e-05
261,VOLLAMBDA_7168MAX192.pkl,1.6808509826660156e-05
262,VOLLAMBDA_7168MAX25060.pkl,0.0001672506332397461
263,VOLLAMBDA_7168MAX25061.pkl,0.00014638900756835938
264,VOLLAMBDA_7168MAX25062.pkl,0.00016880035400390625
265,VOLLAMBDA_7168MAX3150.pkl,0.0002988576889038086
