,Cellid,Motility,Persistance,AutoSlope,P-val,Lambda,Max_act,Speed
19853,172,19.502287230516984,162.16705477304006,-0.001403347074357025,7.023101465834437e-10,5000,894,0.524153666783045
19854,210,40.68710909293427,39.28057869281609,-0.0012527289303448943,1.7596807135227017e-08,9000,577,1.1278638905088243
19855,47,383.9735910781873,6799.776310646428,-0.00097617730646939,0.00013602708648867982,7000,788,0.3712761221321102
19856,31,16.977045783051697,98.80988919615565,-0.00029734674263556533,0.21181692391415816,9000,683,0.6591744216083167
19857,99,57.2698590587746,910.0908273095973,-0.0011028026020525076,1.5601157736903097e-05,9000,1000,0.37660695249687604
19858,134,37.9156727071518,198.06314015017077,-0.0008446303554653239,0.00010770717723566801,4000,683,0.6082125949724188
19859,62,25.64826243145308,163.01500439844853,-0.0004132659726474904,0.0785730439244029,4000,472,0.6060186290972285
19860,97,0.008555735520556676,10.78885533476222,,,1000,155,0.0009217363608732804
19861,182,57.689323193606896,57.2537433164308,-0.0014575545718082976,1.6061810012348156e-07,4000,366,1.2112380757854393
19862,85,17104.91960101001,72621.25328562733,-0.0016040623825793188,9.344927386312747e-07,7000,577,0.748374263962863
19863,47,42.00500697265356,149.8568840501303,-0.000597167264571465,0.09497670855705616,8000,366,0.7756788316681944
19864,43,2.1717937672381007,271.2024498836918,-0.0024785119254806328,7.846992813298393e-26,6000,2000,0.13826958567232078
19865,179,3.049133047996847,35.51039605364396,-0.0013973587640820867,0.0009606452778340668,10000,894,0.4038879074787243
19866,10,2985.902089507775,51053.93234238769,-0.0015179224139206878,0.00010385350972063049,4000,788,0.34458326305614284
19867,121,3.542453878058724,98.76899899055624,-0.0027237483450726005,2.0330658163567558e-11,2000,894,0.22725020172716032
19868,9,12845.949396586606,42167.13750948215,-0.00040222808762282775,0.25092458087587166,9000,472,0.8172975697180592
19869,39,9.04472871837515,52.92716993488804,-0.0002810887960150503,0.2189910643787734,10000,577,0.5929142123038745
19870,150,41.33496688330908,139.08056907660662,0.0001016166349515455,0.7235791670172527,9000,683,0.7510585802063792
19871,4,6.739237909822885,1881.0331080277163,-0.0025537982521730597,5.223197481046408e-29,2000,3000,0.1039314292745422
19872,76,19.334212140452447,193.41962607864826,-0.0032447195382624013,2.375088695659238e-22,4000,261,0.4927311218277186
19873,131,0.0,0.0,,,1000,4000,0.0
19874,39,7.219411312761565,62.487641337210846,-0.000954983554711588,1.223936380505258e-06,3000,3000,0.49485235638561903
19875,203,0.0,0.0,,,8000,788,0.0
19876,213,3.3299829398093266,62.5116023781309,-0.0006258411237933436,9.37752930176304e-05,6000,50,0.340882150784185
19877,77,79.85334929728205,200.26360517549514,-0.0019437158901913763,5.950210610469508e-07,6000,788,0.8329653229250951
19878,124,35.2395129775848,104.61186827095769,-0.0007486485997919215,0.004243488787717928,3000,155,0.8375213963827357
19879,103,137.6953007889857,491.3683964767821,-0.002452099779990656,1.0101292793708457e-22,2000,366,0.6908613627264859
19880,124,21417.82655062825,26368.70539551168,-0.0012964074371490978,2.4114126368606765e-07,6000,50,1.391428867342992
19881,202,474.1601484660463,1392.3839296582996,-0.0031580929682854517,3.365630509535591e-27,9000,261,0.8935021675086436
19882,204,3.2162630610266123,36.52819573515047,0.00013357765586981583,0.7263708656766417,6000,894,0.3713071711917271
19883,31,31.668331185152955,3305.1526933429072,-0.000318225174878257,0.5364577286576458,2000,788,0.16364406560342448
19884,60,16.939092525561303,242.3244394415663,-0.0019521935193285093,1.1038106270418537e-08,4000,472,0.4029373651713963
19885,112,0.03973976587084403,34.21676946138959,-0.2618080105524204,0.22369307458328486,2000,50,0.0028650174557834263
19886,2,37.37805378240498,109.17883233216396,-0.000749255075383392,0.006028558892949216,9000,577,0.898598066092194
19887,105,3962.300958739005,48510.879308804004,-0.0007478035919688145,0.0006532897531297844,4000,788,0.44576765666603335
19888,38,632.9270835706182,43859.77435624963,-0.001611050825501628,1.9972644052337217e-05,4000,894,0.19992600549996575
19889,93,44.79173121709376,14.09228712167753,-0.0013870113213856916,9.584551383303327e-09,8000,261,1.5281114162923437
19890,48,139.93771127762713,404.7654468144962,-0.0003976304383676856,0.09302195421290424,10000,366,0.8989816438599193
19891,192,174.08929412769695,40708.796685297544,-0.00020529212775972428,0.33117022180199496,1000,3000,0.0653869530038884
19892,77,3.6551535041660768,550.1871329124134,-0.002085436777486834,8.353552004103662e-12,6000,2000,0.13167999350704324
19893,120,43.979139590353775,106.9815408995085,-0.0009839712092482623,0.00043936523013908725,9000,683,0.7353009249702289
19894,39,0.6438923250368288,78.79937439096935,0.0007448715790395507,0.2250869811586027,1000,788,0.02918601283641852
19895,28,18.550171351978168,116.65866724519697,-0.002059731391892982,1.921792099887167e-10,10000,577,0.5373328257516253
19896,210,25.692504585350676,102.54601363105539,-0.0005128492546172466,0.07644702764644298,9000,894,0.6927239533652122
19897,44,13.764654168151132,65.97633175182983,-0.0019567164129758036,5.0520602181269324e-08,4000,1000,0.4611113569308066
19898,83,6.562530559290142,8048.148433679847,0.0005021218959063382,0.9708404703382969,5000,50,0.004741020797442304
19899,47,208.90270815846884,57621.442948957985,-0.0001514499401547669,0.49092997907783353,1000,4000,0.06240762919636877
19900,168,209.7149774487012,806.5939354676849,-0.0005611174969037739,0.015676286445473205,5000,3000,0.7223457385954429
19901,98,9.781925194729661,55.421397030410205,-0.0009329756463823686,0.0012306882766594384,5000,366,0.5567564234978959
19902,137,51.28369385647281,120.55808343335379,-0.0023213470586930384,4.274136889385709e-15,2000,472,0.8259966054555636
